title,discountedPrice,price,filename,subType,type
Besan 1 kg,74,160,https://www.jiomart.com/images/product/150x150/491349649/besan-1-kg-0-20210521.jpg,"Atta, Flours and Sooji",Staples
Besan 500 g,37,80,https://www.jiomart.com/images/product/150x150/491349648/besan-500-g-0-20210521.jpg,"Atta, Flours and Sooji",Staples
Maida 1 kg,32,80,https://www.jiomart.com/images/product/150x150/491349662/maida-1-kg-0-20210521.jpg,"Atta, Flours and Sooji",Staples
Rawa 1 kg,38,86,https://www.jiomart.com/images/product/150x150/491349663/rawa-1-kg-0-20210521.jpg,"Atta, Flours and Sooji",Staples
Maida 500 g,17.5,40,https://www.jiomart.com/images/product/150x150/491349661/maida-500-g-0-20210521.jpg,"Atta, Flours and Sooji",Staples
Rawa 500 g,20,43,https://www.jiomart.com/images/product/150x150/491349664/rawa-500-g-0-20210521.jpg,"Atta, Flours and Sooji",Staples
Good Life MP Wheat Chakki Atta 10 kg,325,400,https://www.jiomart.com/images/product/150x150/491458273/good-life-mp-wheat-chakki-atta-10-kg-0-20201117.jpg,"Atta, Flours and Sooji",Staples
Uttam Superfine Maida 500 g,25,30,https://www.jiomart.com/images/product/150x150/490022110/uttam-superfine-maida-500-g-0-20210302.jpg,"Atta, Flours and Sooji",Staples
Aashirvaad Whole Wheat Atta 5 kg,210,245,https://www.jiomart.com/images/product/150x150/490000038/aashirvaad-whole-wheat-atta-5-kg-0-20210604.jpg,"Atta, Flours and Sooji",Staples
Rajdhani Chana Sattu 500 g,59,81,https://www.jiomart.com/images/product/150x150/491208934/rajdhani-chana-sattu-500-g-0-20210304.jpg,"Atta, Flours and Sooji",Staples
Aashirvaad Whole Wheat Atta 10 kg,379,450,https://www.jiomart.com/images/product/150x150/490000041/aashirvaad-whole-wheat-atta-10-kg-0-20210604.jpg,"Atta, Flours and Sooji",Staples
Chakki Atta 5 kg,145,210,https://www.jiomart.com/images/product/150x150/491349659/chakki-atta-5-kg-0-20210301.jpg,"Atta, Flours and Sooji",Staples
Gajanann Foods Rajgira Flour 200 g,35,70,https://www.jiomart.com/images/product/150x150/590127087/gajanann-rajgira-flour-200-g-0-20210322.jpg,"Atta, Flours and Sooji",Staples
Gajanann Foods Upavas Bhajani 200 g,32.5,65,https://www.jiomart.com/images/product/150x150/491551305/gajanann-foods-upavas-bhajani-200-g-0-20210322.jpg,"Atta, Flours and Sooji",Staples
Bhagirathi Singhara atta 200 g,75,100,https://www.jiomart.com/images/product/150x150/490010468/bhagirathi-singhara-atta-200-g-0-20200921.jpg,"Atta, Flours and Sooji",Staples
Bhagirathi Rajgira Peeth / Atta 200 g,37.5,50,https://www.jiomart.com/images/product/150x150/490010463/bhagirathi-rajgira-peeth-atta-200-g-0-20201001.jpg,"Atta, Flours and Sooji",Staples
Bhagirathi Upwas Bhajni 200 g,37.5,50,https://www.jiomart.com/images/product/150x150/490010473/bhagirathi-upwas-bhajni-200-g-0-20201021.jpg,"Atta, Flours and Sooji",Staples
Nutrapoorna Sama / Varai Atta 200 g,30.67,46,https://www.jiomart.com/images/product/150x150/590108358/nutrapoorna-sama-varai-atta-200-g-0-20201215.jpg,"Atta, Flours and Sooji",Staples
Nutrapoorna Rajgira Atta 500 g,49.34,74,https://www.jiomart.com/images/product/150x150/590108356/nutrapoorna-rajgira-atta-500-g-0-20201215.jpg,"Atta, Flours and Sooji",Staples
Nutrapoorna Kuti / Kuttu Atta 200 g,42,63,https://www.jiomart.com/images/product/150x150/590108357/nutrapoorna-kuti-kuttu-atta-200-g-0-20201215.jpg,"Atta, Flours and Sooji",Staples
Nutrapoorna Singoda Atta 200 g,63.34,95,https://www.jiomart.com/images/product/150x150/590108359/nutrapoorna-singoda-atta-200-g-0-20201215.jpg,"Atta, Flours and Sooji",Staples
Chakki Atta 10 kg,279,375,https://www.jiomart.com/images/product/150x150/491349660/chakki-atta-10-kg-0-20210301.jpg,"Atta, Flours and Sooji",Staples
Rajdhani Besan 500 g,45,70,https://www.jiomart.com/images/product/150x150/490006667/rajdhani-besan-500-g-0-20200818.jpg,"Atta, Flours and Sooji",Staples
Good Life MP Wheat Chakki Atta 5 kg,159,225,https://www.jiomart.com/images/product/150x150/491458272/good-life-mp-wheat-chakki-atta-5-kg-0-20201117.jpg,"Atta, Flours and Sooji",Staples
Good Life Sava Rice 500 g,65,70,https://www.jiomart.com/images/product/150x150/491185310/good-life-sava-rice-500-g-0-20210305.jpg,"Atta, Flours and Sooji",Staples
Aashirvaad Select Sharbati Whole Wheat Atta 5 kg,239,295,https://www.jiomart.com/images/product/150x150/490005641/aashirvaad-select-sharbati-whole-wheat-atta-5-kg-0-20210604.jpg,"Atta, Flours and Sooji",Staples
Aashirvaad Multigrain Atta 5 kg,239,305,https://www.jiomart.com/images/product/150x150/490675817/aashirvaad-multigrain-atta-5-kg-0-20210604.jpg,"Atta, Flours and Sooji",Staples
Aashirvaad Whole Wheat Atta 1 kg,48.36,52,https://www.jiomart.com/images/product/150x150/490000032/aashirvaad-whole-wheat-atta-1-kg-0-20210604.jpg,"Atta, Flours and Sooji",Staples
Broken Wheat / Daliya 500 g,25,50,https://www.jiomart.com/images/product/150x150/491349665/broken-wheat-daliya-500-g-0-20210316.jpg,"Atta, Flours and Sooji",Staples
Rajdhani Besan 1 kg,89,139,https://www.jiomart.com/images/product/150x150/490006666/rajdhani-besan-1-kg-0-20200805.jpg,"Atta, Flours and Sooji",Staples
Broken Wheat / Daliya 1 kg,50,100,https://www.jiomart.com/images/product/150x150/491349666/broken-wheat-daliya-1-kg-0-20210316.jpg,"Atta, Flours and Sooji",Staples
Good Life MP Wheat Chakki Atta 1 kg,39,50,https://www.jiomart.com/images/product/150x150/491458271/good-life-mp-wheat-chakki-atta-1-kg-0-20201117.jpg,"Atta, Flours and Sooji",Staples
Nature Fresh Sampoorna Chakki Whole Wheat Atta 10 kg,345,450,https://www.jiomart.com/images/product/150x150/491082049/nature-fresh-sampoorna-chakki-whole-wheat-atta-10-kg-0-20201207.jpg,"Atta, Flours and Sooji",Staples
Uttam Rawa / Sooji 1 kg,49,60,https://www.jiomart.com/images/product/150x150/490022111/uttam-rawa-1-kg-0-20210226.jpg,"Atta, Flours and Sooji",Staples
Aashirvaad Whole Wheat Atta 2 kg,94.86,102,https://www.jiomart.com/images/product/150x150/490000035/aashirvaad-whole-wheat-atta-2-kg-0-20210604.jpg,"Atta, Flours and Sooji",Staples
Fortune Chakki Fresh Atta 5 kg,169,211,https://www.jiomart.com/images/product/150x150/491417435/fortune-chakki-fresh-atta-5-kg-0-20210310.jpg,"Atta, Flours and Sooji",Staples
Madam Rawa 500 g,34.41,37,https://www.jiomart.com/images/product/150x150/490100440/madam-roasted-rawa-500-g-0-20201013.jpg,"Atta, Flours and Sooji",Staples
