,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 06/06/18 14:19 PM (PDT),Vicki ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),2006 Mustang GT, Doesn’t disappoint,5
1, on 08/12/17 06:06 AM (PDT),Tom ,2006 Ford Mustang Coupe V6 Standard 2dr Coupe (4.0L 6cyl 5M),DREAM CAR," I bought mine 4/17 with 98K. Have been wanting a V6 5-sp, '05-'09 vintage for years. The engine is fine. Sounds good. Great mileage. Good power. I pride myself on smooth take-off and gear changes, but this is the orneriest transmission I've ever used! The difference between idle and 4000 rpm is about 1/8"" on the gas pedal, so starting-out without either stalling or way over-revving takes a LOT of finesse. Gear changes are very difficult to master smoothly without lurching. The ride is very harsh with a lot of road noise, which I suppose goes with a quasi high-performance car. My '01 S-10 is quieter and smoother. All that said, it's a smokin' hot looking car, and still fun to drive. This was the first-off of the modern 'Stangs. Hopefully these problems have been ironed-out since.",3
2, on 06/15/17 05:43 AM (PDT),Ray ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),Great Ride, There will always be a 05-09 mustang for sale and their fairly reasonable. Purchased mine as second car and I believe it was a great investment,5
3, on 05/18/17 17:33 PM (PDT),Don Watson ,2006 Ford Mustang Coupe V6 Deluxe 2dr Coupe (4.0L 6cyl 5M),I have wanted a Mustang for 40 years.," I bought my car from an auction I work at ( Adesa Sacramento ) and I love it!! It is a v6 with an air aid cold air injector, throttle body spacer and a Flowmaster exhaust. The previous owner also added blacked out 17 inch factory rims. This beast will smoke any G6 or v6 camaro out there.... If you can buy a base model and do the bolt on stuff yourself do it!!!!",5
4, on 01/03/16 18:03 PM (PST),One owner ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),One owner, I bought this car spankin new and i still am In love with this car.  This car hugs the road and does whatever you ask at a moments notice.   The only thing I have had to fix is the alternator.   Of course there are repairs like tires and brakes. This car has gone all these years and no mechanical breakdown!   How many cars can you say that about?This car is GREAT!,5
5, on 10/24/15 12:40 PM (PDT),Adam ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),Poor," Lots of problems with Ford these days, sensors issues, cam phasers, and got solenoid problems.",3
6, on 10/29/11 04:57 AM (PDT),amos247 ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),06 mustang gt with a few mods, Bought mine used 20k on it and have added a SCT tuner with Ford CAI and Flow master mufflers.I get 19.5 mpg in town and 24.5 mpg highway onregular 87 octane gas with normal driving. No major mechanical issues to report and have taken several long road trips in it with good comfort. The mustang GT offers great bang for the buck performance and decent fuel economy. The car is easy to work on for all the do it your self guys and gals. Would I buy a mustang again you betcha... ,4.625
7, on 07/25/11 12:15 PM (PDT),dave3012 ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),2006 Ford Mustang GT Premium 2dr Coupe (4.6L 8cyl 5M)," I bought my preowned 06 a few weeks back and am very glad I did. Screaming Yellow, car had some upgrades from previous owner (Airaid air filter system, Flowmaster exaust) It's about 360 horses of extreme fun. Although the car had 51K on it, Honda dealer included 3 year 36K bumper to bumper waurranty, and I plan to get the best out of those 36,000 miles. At 45 it was a mid-life crisis the wife even agreed with. LOL",4.375
8, on 07/21/11 11:28 AM (PDT),ronnzy98 ,2006 Ford Mustang Coupe GT Deluxe 2dr Coupe (4.6L 8cyl 5M),Get Rid of it before 100K," I drive 50 miles each way to work and traded my 01 accord for a 06 mustand in 2008. Well 80k miles later the engine starts having this knocking noise and significant loss of power and not because I don't take care of my car as I changed my oil every 3K miles and keep it very well maintained. After Ford looked at the car they quoted me $4,100 to fix what they called a cam phaser issue (pumps oil to the top end of the motor). Needless to say I pulled the car from Ford and took to a performance shop, who said it needed a new motor for $4,800. Well thats great but this is not my toy its my daily driver. Long story short before you buy research cam phasers this appears to be an issue in many Ford",3.5
9, on 12/06/10 00:00 AM (PST),Anonymous ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),Get this car.," This car is just awesome.  The 4.6L V8 makes the car, and the stock exhaust has a nice rumble to it that screams when you mash the pedal to the floor.  I've had the car for 2 years and have about 52,000 miles on her with zero problems.  For the price, you really can't beat it either (16300 in 2009 with 33k miles). Its faster, better looking, and really just more of a car than any used BMW/mercedes within its pricing segment.  The only comparable competitor in the used car market this years Mustang has is in the 350z, which handles better but lacks in practicality.  And on top of that, the Z doesn't sound as good as the 8 and after test driving could be a nightmare as a daily driver",4.625
